Net_Name,Net_Pins
2.5V,C17.1 C19.1 C21.1 C23.1 C25.1 C73.1 C74.1 C75.1 C76.1 C77.1 C191.1 C193.1 C195.1 C197.1 C236.1 C237.1 C238.1 C239.1 C390.1 C391.1 C660.1 C661.1 JH6.1 R288.1 TP11378.1 U9.B1 U9.M9 U10.B1 U10.M9 U11.B1 U11.M9 U12.B1 U12.M9 U13.B1 U13.M9 U34.B1 U34.M9 U35.B1 U35.M9 U36.B1 U36.M9 U37.B1 U37.M9 U39.4 U39.5
3.3V,C10.1 C11.1 C12.1 C14.1 C29.1 C30.1 C31.1 C32.1 C33.1 C42.1 C55.1 C84.1 C117.1 C123.1 C127.1 C128.1 C151.1 C152.1 C160.1 C162.1 C169.1 C188.1 C245.1 C249.1 C267.1 C272.1 C324.1 C327.1 C329.1 C471.1 C472.1 C475.1 C480.1 C517.1 C518.1 C519.1 C520.1 C562.1 C563.1 C568.1 C575.1 C585.1 C590.1 C600.1 C601.1 C609.1 C610.1 C611.1 C612.1 C617.1 C618.1 C667.1 D1.1 D1.4 D2.1 D3.1 D4.1 J5.15 J5.17 JH14.1 L9.1 Q3.4 R1.1 R2.1 R3.1 R4.1 R5.1 R6.1 R7.1 R8.1 R11.1 R13.1 R14.1 R16.1 R17.1 R19.1 R20.1 R24.1 R26.1 R39.1 R44.1 R67.1 R71.1 R72.1 R75.1 R76.1 R79.1 R80.1 R84.1 R87.1 R91.1 R94.1 R107.1 R110.1 R113.1 R117.1 R118.1 R119.1 R120.1 R124.1 R125.1 R127.1 R131.1 R136.1 R139.1 R142.2 R167.2 R168.1 R177.1 R189.1 R190.1 R204.1 R207.2 R208.1 R210.1 R223.1 R224.1 R228.1 R232.1 R233.1 R240.1 R241.1 R242.1 R245.1 R246.1 R247.1 R253.1 R260.1 R262.1 R263.1 R271.1 R277.1 R281.1 R285.1 R286.1 R287.1 R292.1 R294.1 R295.1 R296.1 R302.1 R305.1 R314.1 R327.1 R329.1 R331.1 R332.1 R333.1 R340.1 R341.1 R346.1 R358.2 R365.1 R366.1 R369.1 R373.1 R376.1 R378.1 R380.1 R383.1 R384.1 R386.1 R387.1 R388.1 R400.1 R404.1 TP12202.1 U1.H14 U1.H15 U1.H16 U1.H17 U1.J14 U1.J15 U1.J16 U1.J17 U1.V9 U1.W9 U4.B4 U8.8 U15.1 U15.16 U15.18 U15.30 U15.40 U15.46 U21.10 U21.16 U28.1 U28.8 U29.3 U29.7 U29.9 U29.20 U29.29 U30.1 U30.9 U30.18 U33.C6 U33.E6 U33.F5 U33.J10 U33.K9 U33.M4 U33.N4 U33.P3 U33.P5 U38.10 U40.8 U43.4 U43.5 U44.3 U45.1 U46.5 U48.5
3.3V_AUX,D2.2 F2.2 JH12.1 R141.2 R405.1 TP11540.1 TP11549.1 TP11550.1 TP12361.1 TP12369.1
3.3V_AUX_F,F2.1 J1.B10 TP11844.1
3.3V_CCLK_LVDS,C165.1 L8.1 R127.2 TP12205.1
3.3V_CCLK_LVDS_OCS,C140.1 C161.1 L8.2 R106.1 TP12206.1 U24.6
3.3V_GEN_CLK,C147.1 C159.1 C163.1 C588.1 C604.1 C605.1 C606.1 C616.1 L20.2 R402.1 TP12076.1 U31.4 U31.5 U31.9 U31.16 U31.25
3.3V_GEN_R_CLK,C589.1 L20.1 R365.2 TP12077.1
3.3V_NCSI,J48.27 J48.29 R167.1 TP11807.1
3.3V_PWR_USBPHY,C156.1 C591.1 R357.1 TP12204.1 U29.12
