column_one,column_two
PCIE_BF_CPU_00P_C,C658.1
PCIE_BF_CPU_00P,C658.2
SE_SER_DI_CONN,C659.1
L_TERM_B12_C,C659.2
1.2V_DDR,C66.1
GND,C66.2
2.5V,C660.1
GND,C660.2
2.5V,C661.1
GND,C661.2
3.3V_QSFP0,C666.1
GND,C666.2
3.3V,C667.1
GND,C667.2
5V,C668.1
GND,C668.2
1.2V_DDR,C67.1
GND,C67.2
1.8V,C68.1
GND,C68.2
1.8V,C69.1
GND,C69.2
1.2V_DDR,C7.1
GND,C7.2
12V,C70.1
GND,C70.2
S_1.8V_FB_R,C71.1
S_1.8V_FB_RC,C71.2
S_RCLK_LVDS_P,C72.1
S_RCLK_P,C72.2
2.5V,C73.1
GND,C73.2
2.5V,C74.1
GND,C74.2
2.5V,C75.1
GND,C75.2
2.5V,C76.1
GND,C76.2
2.5V,C77.1
GND,C77.2
1.8V,C78.1
GND,C78.2
S_1.8V_SS,C79.1
GND,C79.2
3.3V_SH,C8.1
GND,C8.2
S_1.8V_SS,C80.1
GND_ANALOG_1.8V,C80.2
VCORE,C81.1
GND,C81.2
1.2V_DDR,C82.1
GND,C82.2
1.2V_DDR,C83.1
GND,C83.2
3.3V,C84.1
GND,C84.2
VCC_1.8V,C85.1
GND,C85.2
12V,C86.1
GND,C86.2
VCORE,C87.1
GND,C87.2
AG_SW_VCORE_P1,C88.1
AG_VCORE_RC_SNB_P1,C88.2
5V,C89.1
GND,C89.2
3.3V_SH,C9.1
GND,C9.2
S_VCC_VCORE_P1,C90.1
GND,C90.2
S_VCORE_ACSP1_N,C91.1
GND,C91.2
1.2V_DDR,C92.1
GND,C92.2
12V,C93.1
GND,C93.2
12V,C94.1
GND,C94.2
3.3V_QSFP0,C95.1
GND,C95.2
VCORE,C96.1
GND,C96.2
1.2V_DDR,C97.1
GND,C97.2
1.2V_DDR,C98.1
GND,C98.2
12V,C99.1
GND,C99.2
3.3V,D1.1
L_GREEN_LED1_R_P0,D1.2
L_YELLOW_LED1_R_P0,D1.3
3.3V,D1.4
3.3V,D2.1
3.3V_AUX,D2.2
3.3V_SH,D2.3
3.3V,D3.1
GND,D3.2
3.3V,D4.1
GND,D4.2
L_GREEN_LED1_R_P0,D5.1
GND,D5.2
L_YELLOW_LED1_R_P0,D6.1
GND,D6.2
12V_PCIE_IN,F1.1
12V,F1.2
3.3V_AUX_F,F2.1
3.3V_AUX,F2.2
GND,H3.1
GND,H4.1
GND,H5.1
GND,H6.1
GND_CHASSIS,H7.1
GND_CHASSIS,H8.1
S_PRSNT_L,J1.A1
S_PERST_CONN_L,J1.A11
GND,J1.A12
PCIE_REFCLK0_P,J1.A13
PCIE_REFCLK0_N,J1.A14
GND,J1.A15
PCIE_BF_CPU_00P,J1.A16
PCIE_BF_CPU_00N,J1.A17
GND,J1.A18
SE_SER_DO_CONN,J1.A19
12V_PCIE_IN,J1.A2
GND,J1.A20
PCIE_BF_CPU_01P,J1.A21
PCIE_BF_CPU_01N,J1.A22
GND,J1.A23
GND,J1.A24
PCIE_BF_CPU_02P,J1.A25
PCIE_BF_CPU_02N,J1.A26
GND,J1.A27
GND,J1.A28
PCIE_BF_CPU_03P,J1.A29
12V_PCIE_IN,J1.A3
PCIE_BF_CPU_03N,J1.A30
GND,J1.A31
SE_SER_CLK_CONN,J1.A32
SE_SER_CAPTURE_CONN,J1.A33
GND,J1.A34
PCIE_BF_CPU_04P,J1.A35
PCIE_BF_CPU_04N,J1.A36
GND,J1.A37
GND,J1.A38
PCIE_BF_CPU_05P,J1.A39
GND,J1.A4
PCIE_BF_CPU_05N,J1.A40
GND,J1.A41
GND,J1.A42
PCIE_BF_CPU_06P,J1.A43
PCIE_BF_CPU_06N,J1.A44
GND,J1.A45
GND,J1.A46
PCIE_BF_CPU_07P,J1.A47
PCIE_BF_CPU_07N,J1.A48
GND,J1.A49
L_TERM_A50,J1.A50
GND,J1.A51
PCIE_BF_CPU_08P,J1.A52
PCIE_BF_CPU_08N,J1.A53
GND,J1.A54
GND,J1.A55
PCIE_BF_CPU_09P,J1.A56
PCIE_BF_CPU_09N,J1.A57
GND,J1.A58
GND,J1.A59
JTAG_LOOP,J1.A6
PCIE_BF_CPU_10P,J1.A60
PCIE_BF_CPU_10N,J1.A61
GND,J1.A62
GND,J1.A63
PCIE_BF_CPU_11P,J1.A64
PCIE_BF_CPU_11N,J1.A65
GND,J1.A66
GND,J1.A67
PCIE_BF_CPU_12P,J1.A68
PCIE_BF_CPU_12N,J1.A69
JTAG_LOOP,J1.A7
GND,J1.A70
GND,J1.A71
PCIE_BF_CPU_13P,J1.A72
PCIE_BF_CPU_13N,J1.A73
GND,J1.A74
GND,J1.A75
PCIE_BF_CPU_14P,J1.A76
PCIE_BF_CPU_14N,J1.A77
GND,J1.A78
GND,J1.A79
PCIE_BF_CPU_15P,J1.A80
PCIE_BF_CPU_15N,J1.A81
GND,J1.A82
12V_PCIE_IN,J1.B1
3.3V_AUX_F,J1.B10
S_WAKE_CONN_L,J1.B11
SE_SER_DI_CONN,J1.B12
GND,J1.B13
PCIE_CPU_BF_00P,J1.B14
PCIE_CPU_BF_00N,J1.B15
GND,J1.B16
L_TERM_B17,J1.B17
GND,J1.B18
PCIE_CPU_BF_01P,J1.B19
12V_PCIE_IN,J1.B2
PCIE_CPU_BF_01N,J1.B20
GND,J1.B21
GND,J1.B22
PCIE_CPU_BF_02P,J1.B23
PCIE_CPU_BF_02N,J1.B24
GND,J1.B25
GND,J1.B26
PCIE_CPU_BF_03P,J1.B27
PCIE_CPU_BF_03N,J1.B28
GND,J1.B29
12V_PCIE_IN,J1.B3
L_TERM_B30,J1.B30
L_TERM_B31,J1.B31
GND,J1.B32
PCIE_CPU_BF_04P,J1.B33
PCIE_CPU_BF_04N,J1.B34
GND,J1.B35
GND,J1.B36
PCIE_CPU_BF_05P,J1.B37
PCIE_CPU_BF_05N,J1.B38
GND,J1.B39
GND,J1.B4
GND,J1.B40
PCIE_CPU_BF_06P,J1.B41
PCIE_CPU_BF_06N,J1.B42
GND,J1.B43
GND,J1.B44
PCIE_CPU_BF_07P,J1.B45
PCIE_CPU_BF_07N,J1.B46
GND,J1.B47
L_TERM_B48,J1.B48
GND,J1.B49
I2C_SMCLK_H0,J1.B5
PCIE_CPU_BF_08P,J1.B50
PCIE_CPU_BF_08N,J1.B51
GND,J1.B52
GND,J1.B53
PCIE_CPU_BF_09P,J1.B54
PCIE_CPU_BF_09N,J1.B55
GND,J1.B56
GND,J1.B57
PCIE_CPU_BF_10P,J1.B58
PCIE_CPU_BF_10N,J1.B59
I2C_SMDAT_H0,J1.B6
GND,J1.B60
GND,J1.B61
PCIE_CPU_BF_11P,J1.B62
PCIE_CPU_BF_11N,J1.B63
GND,J1.B64
GND,J1.B65
PCIE_CPU_BF_12P,J1.B66
PCIE_CPU_BF_12N,J1.B67
GND,J1.B68
GND,J1.B69
GND,J1.B7
PCIE_CPU_BF_13P,J1.B70
PCIE_CPU_BF_13N,J1.B71
GND,J1.B72
GND,J1.B73
PCIE_CPU_BF_14P,J1.B74
PCIE_CPU_BF_14N,J1.B75
GND,J1.B76
GND,J1.B77
PCIE_CPU_BF_15P,J1.B78
PCIE_CPU_BF_15N,J1.B79
GND,J1.B80
S_PRSNT_L,J1.B81
L_TERM_B82,J1.B82
NC_CAGE1,J3.1
NC_CAGE10,J3.10
NC_CAGE2,J3.2
GND_CHASSIS,J3.3
GND_CHASSIS,J3.4
GND_CHASSIS,J3.5
GND_CHASSIS,J3.6
GND_CHASSIS,J3.7
GND_CHASSIS,J3.8
NC_CAGE9,J3.9
GND,J36.1
12V,J36.2
S_FAN_TACH,J36.3
S_FAN_PWM,J36.4
GND,J36.G1
GND,J36.G2
GND,J4.1
3.3V_VCC_RX_P0,J4.10
I2C_SCL1,J4.11
I2C_SDA1,J4.12
GND,J4.13
HS_QSFP0_BF_02P,J4.14
HS_QSFP0_BF_02N,J4.15
GND,J4.16
HS_QSFP0_BF_00P,J4.17
HS_QSFP0_BF_00N,J4.18
GND,J4.19
HS_BF_QSFP0_01N,J4.2
GND,J4.20
HS_QSFP0_BF_01N,J4.21
HS_QSFP0_BF_01P,J4.22
GND,J4.23
HS_QSFP0_BF_03N,J4.24
HS_QSFP0_BF_03P,J4.25
GND,J4.26
S_MODPRS_P0_L,J4.27
S_INT_P0_L,J4.28
3.3V_VCC_TX_P0,J4.29
HS_BF_QSFP0_01P,J4.3
3.3V_VCC1_P0,J4.30
S_LPMODE_P0_R,J4.31
GND,J4.32
HS_BF_QSFP0_02P,J4.33
HS_BF_QSFP0_02N,J4.34
GND,J4.35
HS_BF_QSFP0_00P,J4.36
HS_BF_QSFP0_00N,J4.37
GND,J4.38
GND,J4.4
HS_BF_QSFP0_03N,J4.5
HS_BF_QSFP0_03P,J4.6
GND,J4.7
GND,J4.8
S_RESET_P0_R_L,J4.9
NC_USB_VBUS,J46.1
USB_CON1_DM_N,J46.2
USB_CON1_DM_P,J46.3
NC_USB_ID,J46.4
GND,J46.5
GND,J46.6
GND,J46.7
SE_NCSI_CLK_CONN,J48.1
GND,J48.10
SE_NCSI_CRS_DV,J48.11
GND,J48.12
SE_NCSI_TX_D0_CONN,J48.13
GND,J48.14
SE_NCSI_TX_D1_CONN,J48.15
GND,J48.16
SE_NCSI_TX_EN_CONN,J48.17
GND,J48.18
S_RST_CONN,J48.19
GND,J48.2
S_SOFT_RST_CONN,J48.20
I2C_FLAT_SDA,J48.21
S_NSRST_ARM_CONN_L,J48.22
I2C_FLAT_SCL,J48.23
S_PACK_ID2_CONN,J48.24
GND,J48.25
S_RSVD_30P_CONN,J48.26
3.3V_NCSI,J48.27
SE_FLAT_UART_TX,J48.28
3.3V_NCSI,J48.29
SE_NCSI_ARB_IN_CONN,J48.3
SE_FLAT_UART_RX,J48.30
S_PACK_ID0_CONN,J48.4
SE_NCSI_ARB_OUT_CONN,J48.5
S_PACK_ID1_CONN,J48.6
SE_NCSI_RX_D0,J48.7
GND,J48.8
SE_NCSI_RX_D1,J48.9
S_RJ45_TRCT3,J5.1
ETH_1GB_AN,J5.10
ETH_1GB_AP,J5.11
S_RJ45_TRCT1,J5.12
L_PHY_LED0_YELLOW,J5.14
3.3V,J5.15
L_PHY_LED3_YELLOW,J5.16
3.3V,J5.17
L_PHY_LED1_GREEN,J5.18
ETH_1GB_CN,J5.2
ETH_1GB_CP,J5.3
ETH_1GB_BP,J5.4
ETH_1GB_BN,J5.5
S_RJ45_TRCT2,J5.6
S_RJ45_TRCT4,J5.7
ETH_1GB_DP,J5.8
ETH_1GB_DN,J5.9
GND_CHASSIS,J5.GND1
GND_CHASSIS,J5.GND2
3V_VBAT,J50.1
GND,J50.2
GND,J51.1
GND,J52.1
GND,J53.1
GND,J54.1
NC_4PINS_VBUS,J55.1
USB_CON2_DM_N,J55.2
USB_CON2_DM_P,J55.3
GND,J55.4
3.3V_SH,JH1.1
1.2V_DDR,JH10.1
12V,JH11.1
3.3V_AUX,JH12.1
1.2V,JH13.1
3.3V,JH14.1
VCORE,JH4.1
2.5V,JH6.1
0.6V_VTT,JH7.1
0.6V_VREFCA,JH8.1
L_YELLOW_LED1_P0,JP1.1
GND,JP1.2
GND,JP2.1
I2C_SCL0,JP2.2
I2C_SDA0,JP2.3
AG_1.8V_PH,L1.1
1.8V,L1.2
3.3V_RCLK_LVDS,L10.1
3.3V_RCLK_LVDS_OCS,L10.2
1.2V_AVDDL,L11.1
1.2V_DVDDL,L11.2
1.2V_AVDDL,L12.1
1.2V_AVDDL_PLL,L12.2
VDDCPA1,L13.1
VCORE,L13.2
1.8V_VAA_DDR_PLL,L14.1
1.8V,L14.2
VDDCPA2,L15.1
VCORE,L15.2
1.8V_VDD18,L16.1
1.8V,L16.2
3.3V_QSFP0,L17.1
3.3V_VCC1_P0,L17.2
3.3V_VCC_RX_P0,L18.1
3.3V_QSFP0,L18.2
1.8V_VDDPLLPL,L19.1
1.8V,L19.2
AG_SW_VCORE_P1,L2.1
VCORE,L2.2
3.3V_GEN_R_CLK,L20.1
3.3V_GEN_CLK,L20.2
3.3V_QSFP0,L21.1
3.3V_VCC_TX_P0,L21.2
VDDCPA,L3.1
VCORE,L3.2
AG_1.2V_DDR_PH,L4.1
1.2V_DDR,L4.2
AG_SW_VCORE_P2,L5.1
VCORE,L5.2
USB_CON_T_DM_N,L6.1
USB_CHOKE_DM_N,L6.2
USB_CHOKE_DM_P,L6.3
USB_CON_T_DM_P,L6.4
1.8V_VDDPLLPX,L7.1
1.8V,L7.2
3.3V_CCLK_LVDS,L8.1
3.3V_CCLK_LVDS_OCS,L8.2
3.3V,L9.1
3.3V_USB_OSC,L9.2
NC_TEN_FET,Q1.1
L_TEN,Q1.2
L_TEN_D,Q1.3
AG_PWM,Q2.1
GND,Q2.2
S_FAN_PWM,Q2.3
1.2V_AVDDL,Q3.1
1.2V_AVDDL,Q3.2
S_LDO_GATE,Q3.3
3.3V,Q3.4
1.2V_AVDDL,Q3.5
1.2V_AVDDL,Q3.6
3.3V,R1.1
SE_EMMC0_D3,R1.2
DDR4_ALERT_N_R,R10.1
DDR4_ALERT_N,R10.2
I2C_ARM_SDA1_STAB,R100.1
I2C_SDA_IS,R100.2
I2C_SDA4,R101.1
I2C_VRD_SDA,R101.2
I2C_ARM_SCL1_STAB,R102.1
I2C_VRD_SCL,R102.2
I2C_SCL4,R103.1
I2C_SCL_TEMP,R103.2
SE_CLK_GEN_XO_R,R104.1
SE_CLK_GEN_XO,R104.2
SE_CLK_GEN_XO,R105.1
SE_CLK_GEN_XI,R105.2
3.3V_CCLK_LVDS_OCS,R106.1
S_CCLK_LVDS_OE,R106.2
3.3V,R107.1
I2C_SMCLK_H0,R107.2
I2C_SCL2,R108.1
I2C_SCL_IS,R108.2
I2C_ARM_SCL1_STAB,R109.1
I2C_SCL_IS,R109.2
3.3V,R11.1
SE_EMMC0_D7,R11.2
3.3V,R110.1
I2C_SCL_IS,R110.2
SE_USB_OSC_R,R111.1
SE_USB_OSC,R111.2
L_USBPHY_PSW,R112.1
GND,R112.2
3.3V,R113.1
I2C_SCL4,R113.2
S_RBIAS_USB,R114.1
GND,R114.2
SE_CLK_GEN_HUB_XO,R115.1
SE_CLK_GEN_HUB_XI,R115.2
SE_CLK_GEN_HUB_XO_R,R116.1
SE_CLK_GEN_HUB_XO,R116.2
3.3V,R117.1
S_OE_DIFF0_L,R117.2
3.3V,R118.1
S_SS_SEL,R118.2
3.3V,R119.1
I2C_SMDAT_H0,R119.2
1.2V_DDR,R12.1
DDR4_ALERT_N,R12.2
3.3V,R120.1
I2C_SDA_IS,R120.2
I2C_SDA2,R121.1
I2C_SDA_IS,R121.2
3.3V_USB_OSC,R122.1
S_USB_OSC_EN,R122.2
SE_USBPHY_DIR,R123.1
SE_USBPHY_DIR_R,R123.2
3.3V,R124.1
S_STRAP_NON_REM0,R124.2
3.3V,R125.1
S_OE_DIFF3_L,R125.2
L_TERM_B31_C,R126.1
GND,R126.2
3.3V,R127.1
3.3V_CCLK_LVDS,R127.2
L_TERM_B81_C,R128.1
GND,R128.2
L_TERM_B82_C,R129.1
GND,R129.2
3.3V,R13.1
SE_SPI_CS0_L,R13.2
SE_USBPHY_CLK,R130.1
SE_USBPHY_CLK_R,R130.2
3.3V,R131.1
L_USBPHY_CFG1,R131.2
SE_USBPHY_NXT,R132.1
SE_USBPHY_NXT_R,R132.2
S_STRAP_CFG_SEL,R133.1
GND,R133.2
SE_SER_DO,R134.1
GND,R134.2
GND,R135.1
L_TERM_A19_C,R135.2
3.3V,R136.1
S_OE_DIFF1_L,R136.2
PCIE_REFCLK0_N,R137.1
S_CLK_GEN_DIFF1_N,R137.2
PCIE_REFCLK0_P,R138.1
S_CLK_GEN_DIFF1_P,R138.2
3.3V,R139.1
S_OE_DIFF2_L,R139.2
3.3V,R14.1
S_GMII_RST,R14.2
S_STRAP_NON_REM1,R140.1
GND,R140.2
3.3V_SH,R141.1
3.3V_AUX,R141.2
3.3V_SH,R142.1
3.3V,R142.2
L_TERM_B17_C,R143.1
GND,R143.2
SE_SER_DO,R144.1
SE_SER_DO_CONN,R144.2
L_TERM_B48_C,R145.1
GND,R145.2
GND,R146.1
L_TERM_A50_C,R146.2
SE_UART0_BUFF_RXD,R147.1
SE_FLAT_UART_RX,R147.2
SE_UART0_BUFF_TXD,R148.1
SE_FLAT_UART_TX,R148.2
S_NSRST_ARM_L,R149.1
S_NSRST_ARM_CONN_L,R149.2
L_BUFF_OE_L,R15.1
GND,R15.2
S_SOFT_RST,R150.1
S_SOFT_RST_CONN,R150.2
DDR4_A6,R151.1
0.6V_VTT,R151.2
DDR4_A2,R152.1
0.6V_VTT,R152.2
DDR4_A8,R153.1
0.6V_VTT,R153.2
DDR4_PAR,R154.1
0.6V_VTT,R154.2
DDR4_A11,R155.1
0.6V_VTT,R155.2
DDR4_A13,R156.1
0.6V_VTT,R156.2
DDR4_A17,R157.1
0.6V_VTT,R157.2
DDR4_A9,R158.1
0.6V_VTT,R158.2
DDR4_A7,R159.1
0.6V_VTT,R159.2
3.3V,R16.1
I2C_SCL0,R16.2
DDR4_A1,R160.1
0.6V_VTT,R160.2
DDR4_MEMRESET_L,R161.1
GND,R161.2
SE_GMII_TX_EN_R,R162.1
SE_GMII_TX_EN,R162.2
SE_GMII_TX_D0_R,R163.1
SE_GMII_TX_D0,R163.2
SE_NCSI_ARB_OUT_CONN,R164.1
SE_NCSI_ARB_OUT,R164.2
SE_NCSI_TX_D1_CONN,R165.1
SE_NCSI_TX_D1,R165.2
SE_NCSI_TX_EN_CONN,R166.1
SE_NCSI_TX_EN,R166.2
3.3V_NCSI,R167.1
3.3V,R167.2
3.3V,R168.1
S_SOFT_RST,R168.2
GND_CHASSIS,R169.1
GND,R169.2
3.3V,R17.1
I2C_SDA0,R17.2
DDR4_A0,R170.1
0.6V_VTT,R170.2
DDR4_BA0,R171.1
0.6V_VTT,R171.2
DDR4_A5,R172.1
0.6V_VTT,R172.2
DDR4_A3,R173.1
0.6V_VTT,R173.2
DDR4_BA1,R174.1
0.6V_VTT,R174.2
JTAG_TRST_L,R175.1
GND,R175.2
SE_NCSI_ARB_OUT,R176.1
SE_NCSI_ARB_OUT_R,R176.2
3.3V,R177.1
I2C_ARM_SCL1,R177.2
MDC2_ARM,R178.1
I2C_FLAT_SCL,R178.2
I2C_ARM_SCL1,R179.1
I2C_FLAT_SCL,R179.2
SE_UART0_TXD,R18.1
GND,R18.2
I2C_ARM_SDA1,R180.1
I2C_FLAT_SDA,R180.2
DDR4_A10,R181.1
0.6V_VTT,R181.2
DDR4_A4,R182.1
0.6V_VTT,R182.2
DDR4_BG0,R183.1
0.6V_VTT,R183.2
DDR4_A12,R184.1
0.6V_VTT,R184.2
DDR4_A15,R185.1
0.6V_VTT,R185.2
SE_GMII_GCLK_R,R186.1
SE_GMII_GCLK,R186.2
SE_NCSI_ARB_IN_CONN,R187.1
SE_NCSI_ARB_IN,R187.2
SE_NCSI_TX_D0_CONN,R188.1
SE_NCSI_TX_D0,R188.2
3.3V,R189.1
3.3V_RCLK_LVDS,R189.2
3.3V,R19.1
SE_UART0_TXD,R19.2
3.3V,R190.1
L_YELLOW_LED1_P0,R190.2
I2C_SDA0,R191.1
I2C_VRD_SDA,R191.2
I2C_SCL0,R192.1
I2C_VRD_SCL,R192.2
SE_NCSI_CLK_CONN,R193.1
SE_NCSI_CLK,R193.2
S_ARM_NSRST_R_L,R194.1
S_NSRST_ARM_L,R194.2
S_ARM_OOB_RST,R195.1
S_GMII_RST,R195.2
S_NSRST_ARM_L,R196.1
S_GMII_RST,R196.2
DDR4_CKE0,R197.1
0.6V_VTT,R197.2
DDR4_ACT_N,R198.1
0.6V_VTT,R198.2
DDR4_A14,R199.1
0.6V_VTT,R199.2
3.3V,R2.1
SE_EMMC0_D0,R2.2
3.3V,R20.1
JTAG_TCK,R20.2
DDR4_BG1,R200.1
0.6V_VTT,R200.2
DDR4_CS0_N,R201.1
0.6V_VTT,R201.2
3.3V_RCLK_LVDS_OCS,R202.1
S_RCLK_LVDS_OE,R202.2
S_STRAP_OSC_FREQ1,R203.1
GND,R203.2
3.3V,R204.1
S_STRAP_SD_MH,R204.2
I2C_SCL4,R205.1
I2C_VRD_SCL,R205.2
S_STRAP_OSC_FREQ0,R206.1
GND,R206.2
L_FUNCMODE,R207.1
3.3V,R207.2
3.3V,R208.1
S_STRAP_OSC_FREQ0,R208.2
S_RSVD_30P_CONN,R209.1
GND,R209.2
SE_CLK_GEN_GMII_XO_R,R21.1
SE_CLK_GEN_GMII_XO,R21.2
3.3V,R210.1
S_RSVD_30P_CONN,R210.2
MDIO2_ARM,R211.1
I2C_FLAT_SDA,R211.2
1.2V,R212.1
1.2V_AVDDL,R212.2
DDR4_CKE1,R213.1
0.6V_VTT,R213.2
DDR4_ODT0,R214.1
0.6V_VTT,R214.2
DDR4_ODT1,R215.1
0.6V_VTT,R215.2
DDR4_CK1_N,R216.1
DDR4_CK1_TERM,R216.2
DDR4_CK1_P,R217.1
DDR4_CK1_TERM,R217.2
DDR4_CK0_P,R218.1
DDR4_CK0_TERM,R218.2
DDR4_CK0_N,R219.1
DDR4_CK0_TERM,R219.2
S_SOC_HARD_RST_L,R22.1
S_GMII_RST,R22.2
DDR4_A16,R220.1
0.6V_VTT,R220.2
DDR4_CS1_N,R221.1
0.6V_VTT,R221.2
S_CCLK_SELECT,R222.1
GND,R222.2
3.3V,R223.1
S_REG_1.8V_EN,R223.2
3.3V,R224.1
S_STRAP_OSC_FREQ1,R224.2
S_STRAP_SD_MH,R225.1
GND,R225.2
1.8V,R226.1
S_1.8V_FB_R,R226.2
S_SOC_HARD_RST_L,R227.1
S_RST_CONN,R227.2
3.3V,R228.1
SE_GMII_RX_CLK_R,R228.2
SE_GMII_RX_DV_R,R229.1
SE_GMII_RX_DV,R229.2
NC_GMII_REF_CLK,R23.1
GND,R23.2
SE_GMII_RX_ER_R,R230.1
SE_GMII_RX_ER,R230.2
SE_GMII_RX_CLK_R,R231.1
SE_GMII_RX_CLK,R231.2
3.3V,R232.1
MDC2_ARM,R232.2
3.3V,R233.1
S_PHY_INT_L,R233.2
S_REF_ISET,R234.1
GND,R234.2
L_TEN,R235.1
GND,R235.2
L_ZQ_2_L,R236.1
GND,R236.2
L_ZQ_4_L,R237.1
GND,R237.2
L_ZQ_6_L,R238.1
GND,R238.2
L_ZQ_8_L,R239.1
GND,R239.2
3.3V,R24.1
NC_GMII_REF_CLK,R24.2
3.3V,R240.1
I2C_ARM_SDA1,R240.2
3.3V,R241.1
S_ARM_NSRST_R_L,R241.2
3.3V,R242.1
S_CCLK_SELECT,R242.2
S_1.8V_FB_RC,R243.1
S_1.8V_FB,R243.2
S_1.8V_FB,R244.1
GND,R244.2
3.3V,R245.1
SE_GMII_RX_DV_R,R245.2
3.3V,R246.1
SE_GMII_RX_D0_R,R246.2
3.3V,R247.1
SE_GMII_RX_D1_R,R247.2
SE_GMII_RX_D0_R,R248.1
SE_GMII_RX_D0,R248.2
SE_GMII_RX_D1_R,R249.1
SE_GMII_RX_D1,R249.2
S_PHY_INT_R_L,R25.1
S_PHY_INT_L,R25.2
SE_GMII_RX_D2_R,R250.1
SE_GMII_RX_D2,R250.2
VTT_REFIN,R251.1
1.2V_DDR,R251.2
GND,R252.1
VTT_REFIN,R252.2
3.3V,R253.1
S_2.5V_EN,R253.2
NC_TEN_FET,R254.1
GND,R254.2
VDD_SENSE,R255.1
VCORE,R255.2
S_VCORE_SENSE_P,R256.1
VDD_SENSE,R256.2
VSS_SENSE,R257.1
S_VCORE_SENSE_N,R257.2
GND,R258.1
VSS_SENSE,R258.2
L_GREEN_LED1_P0,R259.1
GND,R259.2
3.3V,R26.1
MDIO2_ARM,R26.2
3.3V,R260.1
I2C_SCL2,R260.2
GND_ANALOG_1.8V,R261.1
S_1.8V_MODE,R261.2
3.3V,R262.1
SE_GMII_RX_D2_R,R262.2
3.3V,R263.1
SE_GMII_RX_D3_R,R263.2
SE_GMII_RX_D3_R,R264.1
SE_GMII_RX_D3,R264.2
L_PHY_LED3_YELLOW,R265.1
L_PHY_RJ45_LED1,R265.2
L_PHY_LED1_GREEN,R266.1
L_PHY_RJ45_LED2,R266.2
S_PGOOD_VCORE,R267.1
S_2.5V_EN,R267.2
1.2V_DDR,R268.1
GND,R268.2
GND,R269.1
S_LSET_VCORE_P1,R269.2
MDIO2_ARM,R27.1
I2C_SDA_MDIO_STAB,R27.2
S_VCC_VCORE_P1,R270.1
S_VCORE_P1_EN,R270.2
3.3V,R271.1
S_STRAP_CONFIG_ROM1,R271.2
S_STRAP_PCI_PART1,R272.1
GND,R272.2
AG_1.8V_PH,R273.1
AG_1.8V_PH_R,R273.2
GND,R274.1
1.8V,R274.2
GND,R275.1
1.8V,R275.2
L_PHY_LED0_YELLOW,R276.1
L_PHY_RJ45_LED1,R276.2
3.3V,R277.1
S_0.6V_VTT_EN,R277.2
S_2.5V_FB,R278.1
GND,R278.2
1.2V_DDR,R279.1
S_1.2V_DDR_FB_R,R279.2
S_STRAP_PCORE0_REVERSAL,R28.1
GND,R28.2
S_PGOOD_1.8V,R280.1
S_1.2V_DDR_EN,R280.2
3.3V,R281.1
S_1.2V_DDR_EN,R281.2
S_PGOOD_2.5V,R282.1
S_1.2V_DDR_EN,R282.2
S_STRAP_CONFIG_ROM1,R283.1
GND,R283.2
3.3V_QSFP0,R284.1
GND,R284.2
3.3V,R285.1
NC_JTAG_CSIGHT_TDO,R285.2
3.3V,R286.1
NC_JTAG_CSIGHT_TDI,R286.2
3.3V,R287.1
S_LDO_GATE,R287.2
2.5V,R288.1
S_2.5V_FB,R288.2
S_1.2V_DDR_FB,R289.1
GND,R289.2
SE_CCLK,R29.1
GND,R29.2
S_3.3V_FB_P0,R290.1
GND,R290.2
3.3V_QSFP0,R291.1
S_3.3V_FB_P0,R291.2
3.3V,R292.1
S_STRAP_PCI_PART0,R292.2
S_STRAP_PCI_PART0,R293.1
GND,R293.2
3.3V,R294.1
NC_JTAG_CSIGHT_TMS,R294.2
3.3V,R295.1
NC_JTAG_CSIGHT_TRST_L,R295.2
3.3V,R296.1
NC_JTAG_CSIGHT_TCK,R296.2
L_UVPS_A0,R297.1
GND,R297.2
L_UVPS_A1,R298.1
GND,R298.2
3V_DIF_RTC,R299.1
3V_RTC_VBAT,R299.2
3.3V,R3.1
SE_EMMC0_D1,R3.2
SE_GMII_TX_ER_R,R30.1
SE_GMII_TX_ER,R30.2
12V,R300.1
S_3.3V_EN,R300.2
AG_1.2V_DDR_PH,R301.1
AG_1.2V_DDR_PH_R,R301.2
3.3V,R302.1
S_PORT0_PGOOD,R302.2
S_PWR_EN_PORT0,R303.1
GND,R303.2
L_UVPS_A2,R304.1
GND,R304.2
3.3V,R305.1
I2C_ARM_SCL0,R305.2
S_1.2V_DDR_MODE,R306.1
AGND_1.2V_DDR,R306.2
AG_1.2V_DDR_BST,R307.1
AG_1.2V_DDR_BST_R,R307.2
1.2V,R308.1
GND,R308.2
S_VDDQPS0,R309.1
GND,R309.2
SE_GMII_TX_D7_R,R31.1
SE_GMII_TX_D7,R31.2
S_VDDQPS1,R310.1
GND,R310.2
1.8V,R311.1
S_VDDQPS0,R311.2
1.8V,R312.1
S_VDDQPS1,R312.2
GND_CHASSIS,R313.1
GND,R313.2
3.3V,R314.1
S_3.3V_FB,R314.2
GND,R315.1
S_LSET_VCORE_P2,R315.2
S_VCC_VCORE_P2,R316.1
S_VCORE_P2_EN,R316.2
3V_VBAT,R317.1
3V_RTC_VBAT,R317.2
S_UART_HUB_RST_L,R318.1
S_UART_RST_L,R318.2
S_3.3V_FB,R319.1
GND,R319.2
SE_GMII_TX_D2_R,R32.1
