column_one,column_two
*SIG VDC,C36.1.U
*SIG VDC,TP2.1.U
*SIG VREF,U5.12.L
*SIG VREF,C44.1.U
*SIG VREF,R102.1.U
*SIG VREF,R80.1.U
*SIG VREF,R88.2.U
*SIG VREF,R84.2.U
*SIG VREF,R82.2.U
*SIG VREF,R90.2.U
*SIG VSYS,C79.1.U
*SIG VSYS,FB3.1.U
*SIG VSYS,R94.2.U
*SIG VSYS,R98.1.U
*SIG VSYS,R95.2.U
*SIG VSYS,R99.1.U
*SIG VSYS,TP4.1.U
*SIG \BATDRV,U5.19.S
*SIG \BATDRV,R79.2.U
*SIG $$$10665,J15.1.U
*SIG $$$10665,FB3.2.U
*SIG $$$14924,R15.1.U
*SIG $$$14924,C18.1.U
*SIG $$$14924,U4.3.L
*SIG $$$14924,D7.K.U
*SIG $$$14924,R51.2.U
*SIG $$$14924,R53.1.U
*SIG $$$14924,L5.1.U
*SIG $$$14924,C17.1.U
*SIG $$$14924,C20.1.U
*SIG $$$14924,Q3.5.U
*SIG $$$14924,Q3.6.U
*SIG $$$14924,Q3.7.U
*SIG $$$14924,Q3.8.U
*SIG $$$14925,U4.1.L
*SIG $$$14925,R15.2.U
*SIG $$$14925,R16.1.U
*SIG $$$14926,R19.2.U
*SIG $$$14926,U4.4.L
*SIG $$$14927,C21.2.U
*SIG $$$14927,U4.5.L
*SIG $$$14928,U4.20.S
*SIG $$$14928,R29.2.U
*SIG $$$14928,U4.10.L
*SIG $$$14928,C22.1.U
*SIG $$$14928,R21.1.U
*SIG $$$14929,R29.1.U
*SIG $$$14929,U4.6.L
*SIG $$$14930,U4.11.S
*SIG $$$14930,R21.2.U
*SIG $$$14931,U4.12.S
*SIG $$$14931,R30.1.U
*SIG $$$14932,U4.15.S
*SIG $$$14932,C23.1.U
*SIG $$$14933,R45.1.U
*SIG $$$14933,R44.1.U
*SIG $$$14933,R43.1.U
*SIG $$$14933,R35.1.U
*SIG $$$14933,C24.1.U
*SIG $$$14933,U4.7.L
*SIG $$$14934,U4.8.L
*SIG $$$14934,C24.2.U
*SIG $$$14934,C25.2.U
*SIG $$$14935,C25.1.U
*SIG $$$14935,R35.2.U
*SIG $$$14936,C26.1.U
*SIG $$$14936,R45.2.U
*SIG $$$14937,R48.1.U
*SIG $$$14937,C26.2.U
*SIG $$$14937,R44.2.U
*SIG $$$14938,R46.2.U
*SIG $$$14938,C35.2.U
*SIG $$$14938,R54.2.U
*SIG $$$14938,Q1.4.U
*SIG $$$14939,U4.14.S
*SIG $$$14939,R46.1.U
*SIG $$$14940,C31.2.U
*SIG $$$14940,U4.16.S
*SIG $$$14940,Q1.6.U
*SIG $$$14940,R47.1.U
*SIG $$$14940,Q3.1.U
*SIG $$$14940,Q3.2.U
*SIG $$$14940,Q3.3.U
*SIG $$$14940,Q1.5.U
*SIG $$$14940,L2.1.U
*SIG $$$14940,Q1.7.U
*SIG $$$14940,Q1.8.U
*SIG $$$14941,R47.2.U
*SIG $$$14941,C27.2.U
*SIG $$$14942,C30.1.U
*SIG $$$14942,R48.2.U
*SIG $$$14942,C28.1.U
*SIG $$$14942,C29.1.U
*SIG $$$14942,L2.2.U
*SIG $$$14942,R55.2.U
*SIG $$$14943,R49.2.U
*SIG $$$14943,Q3.4.U
*SIG $$$14944,U4.17.S
*SIG $$$14944,R49.1.U
*SIG $$$14945,U4.18.S
*SIG $$$14945,R50.1.U
*SIG $$$14946,C31.1.U
*SIG $$$14946,R50.2.U
*SIG $$$14947,U4.19.S
*SIG $$$14947,C32.1.U
*SIG $$$14947,R51.1.U
*SIG $$$14948,R52.2.U
*SIG $$$14948,L3.2.U
*SIG $$$14949,L3.1.U
*SIG $$$14949,C34.1.U
*SIG $$$14949,L5.2.U
*SIG $$$14950,C33.1.U
*SIG $$$14950,R53.2.U
*SIG $$$15002,L6.3.U
*SIG $$$15002,D11.1.U
*SIG $$$15002,Q11.1.L
*SIG $$$15002,Q11.2.L
*SIG $$$15002,Q11.5.S
*SIG $$$15002,Q11.6.S
*SIG $$$15003,F3.2.U
*SIG $$$15003,L6.4.U
*SIG $$$15004,R56.2.U
*SIG $$$15004,Q11.3.L
*SIG $$$15004,D14.1.U
*SIG $$$15005,R97.1.U
*SIG $$$15005,C39.1.U
*SIG $$$15005,Q4.1.L
*SIG $$$15005,Q4.5.L
*SIG $$$15005,Q4.2.L
*SIG $$$15005,D15.2.L
*SIG $$$15005,Q4.6.L
*SIG $$$15005,Q4.8.L
*SIG $$$15005,R69.1.U
*SIG $$$15005,R68.2.U
*SIG $$$15005,R96.1.U
*SIG $$$15005,R57.2.U
*SIG $$$15005,R66.2.U
*SIG $$$15006,R57.1.U
*SIG $$$15006,R66.1.U
*SIG $$$15006,C37.1.U
*SIG $$$15007,Q4.4.L
*SIG $$$15007,C40.1.U
*SIG $$$15007,Q4.7.L
*SIG $$$15007,R71.2.U
*SIG $$$15007,Q6.4.L
*SIG $$$15007,Q6.7.L
*SIG $$$15007,R73.2.U
*SIG $$$15008,U5.6.L
*SIG $$$15008,C41.1.U
*SIG $$$15008,C42.1.U
*SIG $$$15008,Q6.1.L
*SIG $$$15008,Q6.2.L
*SIG $$$15008,R78.1.U
*SIG $$$15008,Q6.5.L
*SIG $$$15008,Q6.6.L
*SIG $$$15008,Q6.8.L
*SIG $$$15009,R67.1.U
*SIG $$$15009,R68.1.U
*SIG $$$15009,D15.3.L
*SIG $$$15010,C39.2.U
*SIG $$$15010,C40.2.U
*SIG $$$15010,Q4.3.L
*SIG $$$15010,Q6.3.L
*SIG $$$15010,R72.2.U
*SIG $$$15010,R71.1.U
*SIG $$$15011,C43.1.U
*SIG $$$15011,U5.4.L
*SIG $$$15011,R67.2.U
*SIG $$$15012,R72.1.U
*SIG $$$15012,U5.8.L
*SIG $$$15013,R73.1.U
*SIG $$$15013,U5.7.L
*SIG $$$15014,U5.5.L
*SIG $$$15014,C41.2.U
*SIG $$$15014,R74.1.U
*SIG $$$15015,U5.3.L
*SIG $$$15015,U5.2.L
*SIG $$$15015,C60.1.U
*SIG $$$15015,R78.2.U
*SIG $$$15015,C46.1.U
*SIG $$$15015,C45.1.U
*SIG $$$15015,C57.1.U
